cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
8822,44849,293,128,1299,2275,763,761,252,278,0,Adrian State Bank,50259,129.63561643835615,1.58,17.17,1,Agricultural  Specialization,NM,0,0
52,142178,2158,824,3954,10622,3947,2175,216,1226,118,The Citizens Bank of Winfield,241230,99.03835616438356,1.68,7.78,1,Other Specialized Lending < 1 Billion,NM,3,0
16161,69506,711,661,2465,4980,2301,1684,252,494,41,"Campbell County Bank, Inc.",102403,74.96164383561644,2.26,12.52,2,Agricultural  Specialization,NM,0,0
26358,105133,393,1908,3574,4446,2387,2345,259,861,0,State Bank of Southwest Missouri,117073,33.673972602739724,2.06,29.22,1,Commercial Lending Specialization,NM,0,0
9437,409165,2598,3295,12747,18519,4896,6806,252,3462,64,First State Bank,462781,85.41643835616438,1.06,11.18,13,All Other Specialization  < 1 Billion,NM,-97,0
14778,861629,3691,13465,26705,34016,9191,11315,190,11294,145,First Bank & Trust,1109929,85.41643835616438,0.88,5.25,9,Commercial Lending Specialization,NM,-70,0
31257,99324,1092,1544,4433,4907,976,2332,259,1692,24,New Buffalo Savings Bank,119502,98.42465753424658,0.81,6.71,3,Commercial Lending Specialization,SA,0,0
4132,285222,564,32991,34816,12607,7501,18338,190,13460,12,"The City National Bank and Trust Company of Lawton, Oklahoma",341114,118.21643835616439,2.13,17.29,40,Commercial Lending Specialization,N,0,0
28453,1035412,3148,12957,30355,45067,19030,16438,185,10500,112,Timberland Bank,1197613,104.43013698630136,1.83,15.36,24,Commercial Lending Specialization,SB,0,0
2448,93656,259,730,4663,5163,611,2316,259,1888,22,"Pioneer Community Bank, Inc.",110985,87.7013698630137,0.54,3.76,5,Mortgage Lending Specialization,NM,0,0
13703,367525,2249,1995,10135,17727,5364,5597,190,3519,117,Greenville National Bank,450772,85.37260273972603,1.22,11.78,10,All Other Specialization  < 1 Billion,N,0,0
10984,113883,700,444,3521,6124,1907,2151,250,962,9,Security Bank Minnesota,130961,113.43561643835616,1.5,13.59,3,Commercial Lending Specialization,NM,0,0
13902,16585,65,19,580,718,60,349,252,21,17,Farmers State Bank of Medora,19885,106.74246575342465,0.3,1.81,1,Agricultural  Specialization,NM,0,0
14331,291721,3040,4228,16709,21738,5666,8770,252,6328,53,FirstBank,335689,118.43835616438356,1.74,19.79,6,All Other Specialization  < 1 Billion,SM,0,0
29571,85996,816,122,2531,4777,1238,1142,258,1198,80,"The Home Savings and Loan Company of Kenton, Ohio",132110,131.44657534246576,1,3.73,1,Commercial Lending Specialization,NM,0,0
11777,302296,1227,2941,8099,11236,4364,4343,252,2795,10,Commercial Bank,330867,145.04657534246576,1.34,16.1,9,All Other Specialization  < 1 Billion,NM,-27,0
